"","odds_ratio","conf25","conf75","p_z","name","adjusted_p"
"1","15789687.6295922","-40.3386216247243","364.976780715249","0.988711579839467","PER2CRY2VNTRGGAGAA",0.999316559789599
"2","0.308187142210029","-2.13644304956083","-0.0996841416626394","0.0212870355923226","PER2CRY1VNTRAGGGAB",0.117078695757774
"3","15907083.0140391","-37.1449819296203","362.125508746255","0.988347948729052","PER3AVNTRCGAA",0.999316559789599
"4","5.95540328270596e-15","-49.6042755427543","-18.4428618232888","3.00679787793365e-05","AGE",0.000330747766572701
"5","5682881.07102528","-26.3527429205423","162.582339702943","0.984317354949502","PER2CRY1AAGG",0.999316559789599
"6","1976451.70386679","-49.8599311831441",NA,"0.985539568933876","PER2CRY1CRY2GGGGGG",0.999316559789599
"7","5601985.96660264","-33.4702269037967",NA,"0.985639718737097","CRY1CRY2CCAA",0.999316559789599
"8","0.461343489576086","-1.56648670988674","0.0967560386388686","0.0653771426539338","PER3ACRY1VNTRCCCGAA",0.239716189731091
"9","5428131.22933848","-65.9186530567578",NA,"0.989166419962102","PER2CRY1VNTRGGCCAA",0.999316559789599
"10","1963052.03126634","-66.778493776712",NA,"0.98725292726105","PER2CRY1CRY2AGCCGG",0.999316559789599
"11","1.18848623532223e+23","-2805.27443698119","19350.6037058169","0.999316559789599","MEQ",0.999316559789599
