"","odds_ratio","multi_conf25","multi_conf75","multi_p_z","name","multi_adjusted_p"
"1","6.88894426280216","0.602808807797759","3.33260766640706","0.00466307320130538","AGE",0.0932614640261076
"2","102301271.902388","-209.780621837563",NA,"0.995426969465675","PER3AVNTRCGAA",0.999999447005029
"3","3591249.74052874","-431.237431183114",NA,"0.995785775325066","PER3BCLOCK3111AGTT",0.999999447005029
"4","68260119.0689553","-201.374445386059",NA,"0.995769433972324","PER3CVNTRGGAA",0.999999447005029
"5","91913426.615908","-162.472693561405","617.139054285992","0.995702804983811","PER3CCRY1GTGG",0.999999447005029
"6","2.85285906715482","-0.00689370293764165","2.2961730969159","0.0694454953878238","GENDER",0.694454953878238
"7","161156362.749174","-384.610844775092",NA,"0.997002231845403","CLOCK3111CRY2CCAG",0.999999447005029
"8","35608667.5854252","-496.368427723231",NA,"0.99577646631405","PER2CRY1AAGG",0.999999447005029
"9","1.83712997670041e-09",NA,NA,"0.999365739794755","PER3BCRY2AAAA",0.999999447005029
"10","44439758.0282085","-185.531047202893","907.961256953365","0.996380706617879","PER2PER3CAATT",0.999999447005029
"11","34874253.6695477","-809.612448980613",NA,"0.997371814128461","CLOCK3111VNTRTCBB",0.999999447005029
"12","0.356533956306848","-2.67306711111773","0.67400422204425","0.213679131522424","PER2PER3CAAGT",0.999999447005029
"13","0.234677924180487","-3.39486507169869","0.670769778710889","0.139473329455909","CLOCK3111CRY2CCGG",0.929822196372727
"14","28420739.8581122","-333.842841563908",NA,"0.996476385507779","PER2PER3BAGAG",0.999999447005029
"15","1.01259128670065",NA,NA,"0.999999447005029","PER2PER3BGGAA",0.999999447005029
"16","76560693.3909504","-314.852589002273",NA,"0.996518515475177","CRY1CRY2CCAA",0.999999447005029
"17","27990436.5890785","-485.31395164108",NA,"0.996452560525643","PER3BCRY2AGAG",0.999999447005029
"18","76036535.6584963","-536.54315792535",NA,"0.997014092218767","CRY2VNTRAGBB",0.999999447005029
"19","28973448.0480654","-2319.29393653465",NA,"0.998805754624914","PER3AVNTRCGBB",0.999999447005029
"20","38975296.8681105","-1045.89827230756",NA,"0.99794400586114","CLOCK3111CRY2CCAA",0.999999447005029
