"","coef.res.","2.5 %","97.5 %","summary(res)$coefficients[, 4]","r_squared","adj_r_squared","pregression"
"(Intercept)",44.5539355336682,41.6357829065259,47.4720881608105,1.75437823622756e-42,0.482247640212724,0.38744791236435,2.86614481390222e-06
"PER3BAA",6.94606446633177,-3.56308286404164,17.4552117967052,0.191771890107176,0.482247640212724,0.38744791236435,2.86614481390222e-06
"PER2PER3AAACG",-15.9646338993597,-30.712986267178,-1.21628153154142,0.0342805899881409,0.482247640212724,0.38744791236435,2.86614481390222e-06
"PER2PER3AGGCG",-4.81831138632784,-11.5940909547155,1.95746818205982,0.160591386316923,0.482247640212724,0.38744791236435,2.86614481390222e-06
"PER2PER3BAAAG",16.9094917378489,1.86041629952575,31.958567176172,0.0281927408226475,0.482247640212724,0.38744791236435,2.86614481390222e-06
"PER2CRY1AACC",-24.2656247918813,-39.1834553887647,-9.34779419499796,0.00180150607869616,0.482247640212724,0.38744791236435,2.86614481390222e-06
"PER2CRY1AGGG",-9.16182074666091,-14.3929649471589,-3.9306765461629,0.000828429688850873,0.482247640212724,0.38744791236435,2.86614481390222e-06
"PER3BCRY2GGAA",-2.5893016343085,-6.70560925472291,1.5270059861059,0.213861093883711,0.482247640212724,0.38744791236435,2.86614481390222e-06
"CLOCK3111CRY1CCGG",4.85392405688352,-7.11157683600761,16.8194249497746,0.421296246013997,0.482247640212724,0.38744791236435,2.86614481390222e-06
"CLOCK3111CRY2TTGG",5.71168925821315,1.06545574620748,10.3579227702188,0.0167023570285695,0.482247640212724,0.38744791236435,2.86614481390222e-06
"CLOCK3111CRY2TCAG",2.66291891091062,-2.59278110474807,7.91861892656931,0.315793548416404,0.482247640212724,0.38744791236435,2.86614481390222e-06
"CLOCK3111VNTRCCAB",-7.49207768778162,-15.4484327834527,0.464277407889507,0.064544883057662,0.482247640212724,0.38744791236435,2.86614481390222e-06
"CRY1CRY2CCAA",-12.8619593079369,-20.6182964703334,-5.10562214554035,0.00148431998612164,0.482247640212724,0.38744791236435,2.86614481390222e-06
"CRY1VNTRCGAB",-5.17511652973021,-9.10308335031364,-1.24714970914678,0.0105458227790009,0.482247640212724,0.38744791236435,2.86614481390222e-06
