"","odds_ratio","multi_conf25","multi_conf75","multi_p_z","name","multi_adjusted_p"
"1","73227989.0382642","-270.860579601561",NA,"0.99631348260576","PER2PER3CGGGT",0.997554381200759
"2","7.04997678769592","0.56571626556515","3.43286405126017","0.00620000095432948","AGE",0.0620000095432948
"3","123270582.620814","-523.99630033796",NA,"0.997554381200759","PER3CVNTRTTBB",0.997554381200759
"4","158261049.340328","-258.035561003722",NA,"0.995998822533862","PER3AVNTRCGAA",0.997554381200759
"5","0.0876829207659894","-5.54321814007886","-0.0264037768126558","0.0531773576238318","CLOCK3111CRY2CCGG",0.265886788119159
"6","54261791.6598133","-323.24889114657",NA,"0.996476226812061","PER3CVNTRGGAA",0.997554381200759
"7","34659039.6140536","-348.74634289739",NA,"0.996367450792094","PER3BCLOCK3111AGTT",0.997554381200759
"8","50199824.3808712","-382.483357562076",NA,"0.996623015655291","PER2CRY1GGCC",0.997554381200759
"9","194034454.111962","-339.788304250085",NA,"0.996424802157197","PER2CRY1AAGG",0.997554381200759
"10","0.331324863560789","-2.61166341597347","0.493588700617721","0.152394377317628","PER2PER3CAAGT",0.507981257725427
